county,year,month,precip_mm,temp_min_C,temp_max_C,dewpoint_C,pressure_hPa,soil_moisture_layer1,soil_moisture_layer2,soil_moisture_layer3,soil_moisture_layer4,evap_bare_soil,evap_transpiration,evap_open_water,solar_rad_MJ_m2_day,wind_speed_10m_ms,runoff
Baringo,2014,1,13.557392318710333,13.950007004147027,31.535642648649343,8.97045028529221,858.6915444392419,0.08805737820160355,0.12745508455219892,0.16977613952857176,0.23956465421398596,0.03969751312488896,0.0026677150768778285,0.00432318451984924,25.544882453554898,1.0000226333118973,7.607173524218991
Bomet,2014,1,51.31194778992522,10.35910670848978,26.732261283730214,11.408393682637156,805.325598930766,0.40937140804044136,0.42495370909752345,0.4325324327004531,0.4520048452183946,0.09658239284964819,-1.0244548320770264e-08,0.02014703045255541,24.30747567168887,0.6258546377434208,21.362993327663002
Bungoma,2014,1,38.572308376412465,11.551781579378375,28.673481453459306,9.994057363757046,819.913329835415,0.316418677597909,0.3396500367486097,0.3606981328115323,0.42481949293543697,0.06160375175666205,1.877861369656535e-06,0.019888373684898653,22.781886016083924,1.006481537010406,28.662974752924487
Busia,2014,1,57.831192045475255,16.102683523420893,31.319604287506966,16.360321968976127,876.4735094398487,0.2956769055472909,0.2963639721077956,0.3202125232710961,0.3477448940895453,0.07336866982588906,0.01593832319515459,0.01578256215840351,23.48707710781173,0.7056342439422061,14.665610797789482
Embu,2014,1,8.310121443214566,15.256604580343446,29.184957650539996,13.428606907331341,880.6830458606319,0.25984572009903245,0.3102253163012366,0.34409323027513744,0.33535948691336237,0.052512786617808165,0.00459716625993622,0.01105203009070994,24.411669837308118,1.5161001833011039,13.85405073417893
Garissa,2014,1,1.0087266618639996,22.128921343473536,37.1035706892344,17.780621642981647,993.3127459144454,0.15,0.15,0.15,0.15,0.009000356302647105,0.00023686878223014944,0.0016707512639054691,24.605532332555246,2.758172929141153,0.003564832691995511
Homa Bay,2014,1,63.28931698336901,18.185122410899076,29.89252759338312,16.995063360740563,872.3812115423915,0.24971232399733237,0.24896359827351988,0.25713916972768375,0.2692854831503449,0.053047576251426774,0.05726512122321094,0.01570111069856407,24.49815308052563,0.806657720968692,8.532867702869941
Isiolo,2014,1,1.156611921547815,20.219819124880694,34.53304418609086,15.010383671906384,957.9909227358532,0.11938488036395578,0.15389386121053036,0.16341476618739242,0.1461840161909546,0.011089234291231173,4.609973897777557e-05,0.002056083585249564,25.202054822932944,2.439318159933026,0.004570964471616557
Kajiado,2014,1,10.807672979722875,15.347879638869902,30.350368148946846,13.005918023652624,870.2703613905293,0.1887140665262804,0.24879830684779836,0.2835956600179533,0.24051427339144235,0.04759600118491576,0.00025621309946714446,0.015633881388401005,24.58843996078619,2.07808122861142,2.4253926047789154
Kakamega,2014,1,43.08092026679941,12.690803742907436,30.502859653137104,12.397871781085817,845.0734283559766,0.29982451684497086,0.310243511135879,0.3366875679450149,0.3910387311748244,0.0802002975165738,1.5162742515369252e-06,0.014015516839505061,24.14321616309009,0.7907961509352753,16.51865275448166
Keiyo-Marakwet,2014,1,18.40820357278828,12.310967064211177,26.102618763415816,7.42017355404157,804.3729332965618,0.20376591231076946,0.2301663110516289,0.2698479075593837,0.3570467030989023,0.07022374432074363,7.800695191714992e-05,0.008918863963415541,25.058372541651348,1.202285891455975,16.254231565624245
Kericho,2014,1,30.850967213742948,10.515345302076065,27.254377250592135,9.661609451077803,802.7570599626638,0.29968975096504813,0.3196213164083353,0.3567505524807044,0.41191354810180936,0.09708423823316625,5.218651961795019e-06,0.015441295163835148,24.719189114033462,0.9216499460592953,34.877749067012175
Kiambu,2014,1,16.26934082971426,10.833790880398322,25.913527727471138,10.682721207525338,817.6625781174497,0.24413641290944363,0.27737081433261124,0.32024684005933035,0.3264346965657042,0.058679829620563506,0.00044663935480659624,0.009271716137583349,25.35708989881585,1.9389174832637295,3.084905199908604
Kilifi,2014,1,7.285112372554929,22.259853425391032,33.76670316444524,20.931444409665517,994.0887341074196,0.15,0.15,0.15,0.15,0.02306135131344166,0.0016980772284351823,0.008274060194391383,22.66989547449857,2.6724090993860226,0.020395262749937606
Kirinyaga,2014,1,13.281632678260232,10.917589541877687,25.931221512137206,11.949079639921376,837.8639811771237,0.2746509553754156,0.30298800878318866,0.3369962765220978,0.3792593037882005,0.07946441610712766,0.00017149930137022883,0.016512077786784138,24.200241757983783,0.8880322451990036,37.89671416254794
Kisii,2014,1,79.45759359184792,12.828593944338454,28.239115747766675,14.007037492994536,828.1963188042164,0.4233910118372077,0.4312384045869053,0.4313819902151108,0.42728297949716637,0.09536018219846633,-1.0244548320770264e-08,0.014235304906140368,23.87601250552873,0.43073073667599493,19.93214760301419
Kisumu,2014,1,51.5306029985772,16.17384331174645,32.393686044583,14.387708841051321,868.5660199832083,0.26128173985575726,0.2719167001584433,0.27851455946734255,0.3029542384434874,0.054851693606070014,0.037554385399493566,0.014841252682568688,24.630501747633957,0.36105974839557714,7.388057029424873
Kitui,2014,1,5.40168315384091,19.26746396943995,32.70028612633952,16.953234272307167,940.5747434769953,0.1722190183304605,0.22075894102099097,0.253579642413787,0.1914949742503909,0.047686748061879475,6.227181640598169e-05,0.012703896081467696,23.61132756478697,1.2636666388435176,0.7214591720322583
Kwale,2014,1,5.808628374032179,22.319310018704275,34.07054451899198,20.21064776626252,982.2759402940758,0.15,0.15,0.15,0.15,0.032070620417460345,0.001117918649546222,0.009658064099118875,23.607911061541593,2.4424822084337983,0.028267003921872477
Laikipia,2014,1,10.985851277063219,10.825187787131405,26.72415237031711,8.953841303713466,815.1346980087969,0.19980305675172075,0.26024234055764983,0.3037541225594782,0.3330377911318399,0.04370118047929466,2.9669494563775624e-05,0.012126343254049569,25.859108406350856,2.089517254009391,7.950322002349722
Lamu,2014,1,1.7727705658467008,23.09608896935143,35.306791253960874,20.97645448488416,1007.9737777372139,0.15,0.15,0.15,0.15,0.019068201599338246,0.0048780923005144645,0.00666792607545116,23.086695984069724,3.3097786128281723,0.02244675088889201
Machakos,2014,1,8.19618975010572,14.248794010339884,28.279372910578715,13.41444679385619,865.7227975684168,0.21537559831652642,0.2616247320501386,0.306171317185771,0.2788637389371286,0.05370270369068615,0.0030430058655506057,0.014549655146701939,25.091362181927344,1.8212428987136988,1.37332411927559
Makueni,2014,1,6.6121723971763045,16.10306214704007,29.371731860020915,15.737933160078361,897.2241887023118,0.22161481203203087,0.26434700209060635,0.3134443172524781,0.22550684787134243,0.06075677250225848,-8.097776145439416e-09,0.017996936044489806,24.04166110574468,1.65255136507801,0.5427990265518284
Mandera,2014,1,0.0,19.056421300937743,34.66482810300738,10.81767209611354,947.2462335902419,0.12402937076264757,0.21376048570292552,0.25855398941258484,0.2136034484810592,0.016636186521386178,-1.0244548320770264e-08,0.001970926719047024,25.85099627536927,3.508922207056702,0.0011862658309207722
Marsabit,2014,1,2.1395378977518913,21.849575422772627,35.71809775866959,12.163142330403602,944.0980136163196,0.05715711955990476,0.13360054497343946,0.1401648522188547,0.12286889324204657,0.0020627502130680805,0.014295521262928244,0.001636719522700471,25.1526624061479,4.490402329307618,0.009949259160272951
Meru,2014,1,9.656576675680533,13.047960597951622,26.99849128794938,12.358660968685529,856.9963711050916,0.21376494330824303,0.2578953376489635,0.29586277804141486,0.25397939408119874,0.055760027560711016,4.8426676406617776e-05,0.01748395172994258,24.360746768136593,0.9653824179586376,21.61441084323967
Migori,2014,1,76.23321679117261,16.43008547928421,29.73344397184175,16.408991688002853,864.3594585933612,0.29224908903861946,0.2911109078229449,0.28682478257983685,0.28012234018136134,0.06864741128375658,0.03139025764594329,0.01609213103658472,23.63814248375896,0.7102078749346052,5.838332814282029
Mombasa,2014,1,7.718136589590201,23.055236672920067,33.206205667060765,21.597935327967075,1007.5090967420899,0.15,0.15,0.15,0.15,0.0272514270479163,0.03252363790771493,0.0060124407097566545,23.664031033033236,3.7251830738925173,0.6360417093549455
Murang'a,2014,1,15.646677283258557,10.409859775370652,25.802086493749208,11.699055022788183,831.4868083272761,0.26341172943134405,0.2959969494844906,0.351971929222392,0.37639463766416,0.07131501537128855,0.00034139409009762794,0.014505715290747248,24.95909881296608,0.9923306797648659,8.225695471248267
Nairobi,2014,1,13.212322268365536,12.709443033903108,27.82333395931569,10.907021617843721,835.213215419036,0.19729749386470366,0.24277726358443683,0.24558793487568822,0.23980491170289583,0.027477249044130493,0.0003869987936367963,0.008741122480465068,25.52886277463784,2.848958125712187,0.05295536031548873
Nakuru,2014,1,20.383829539726502,8.75373836731649,25.50545968146708,8.334390757397689,786.5386897254202,0.24150655805570712,0.27692115943746215,0.32062083379156686,0.3615650394397238,0.06767461947632013,0.004700137394051089,0.01784036557278307,25.152418995830622,1.1684552697374115,24.40804388966541
Nandi,2014,1,29.043643802726375,10.581100785652291,27.80297120666541,10.478914119130732,811.8607286083189,0.36932409112946146,0.38206892198025155,0.40124782742265147,0.4592125197487741,0.09953749981184434,9.304642870424252e-06,0.016700092144209384,24.633402212997826,1.0873859288561276,31.193519240534293
Narok,2014,1,36.93372533430658,11.04834623358421,27.276371892715513,10.73990968833235,811.0247123860153,0.269298706878841,0.28831050652539675,0.2935780442604036,0.2737899107116403,0.06836335054743849,7.975461931970067e-07,0.02273617868370519,24.52892835565086,1.2332521767352957,7.111052264209091
Nyamira,2014,1,65.53982676346558,11.666573828697807,27.72089994507924,12.908705608724286,818.2879101954564,0.429321069175773,0.4404455211604232,0.4492309003858793,0.4674534020382948,0.09562471559118334,-1.0244548320770264e-08,0.01622670842421906,24.142493563542022,0.35688105533717024,24.30158196369657
Nyandarua,2014,1,19.274156949438105,6.383765518808117,23.399886333034576,7.38656746147927,764.2897117477424,0.2856135476500246,0.31300303487416103,0.35141762330227544,0.42356368568243624,0.07102975260529563,0.00046939954448921474,0.01685431564213443,25.096335231060547,1.5069802113504038,38.8460710467357
Nyeri,2014,1,20.527865270602742,7.047753245345444,22.367261661346443,9.222662656755276,781.1347207330767,0.3424763218630639,0.35779968332602885,0.3776787761737656,0.40275117008097555,0.07429688466348232,9.789364223235553e-06,0.019017871419617936,24.351998670014186,0.4731077020714225,39.22092711160108
Samburu,2014,1,4.537815908907326,16.28721916426881,30.816336352589904,11.688357560810925,884.8195034683185,0.11202274145897606,0.17373305601182218,0.1894383872971853,0.18337786114941726,0.014875199051376981,0.0004895738480085319,0.005379875529063941,25.087651815701353,2.231445178838175,0.7401748821122308
Siaya,2014,1,54.53202455623295,18.610001314841686,30.40467344968055,17.544441244252774,878.0858751637847,0.2523708577643252,0.253066034860002,0.2644677142386007,0.2906060578724745,0.05865483001732679,0.054466587490246,0.0152854839998467,24.575038432918454,0.8584434966149217,11.298224493088686
Taita Taveta,2014,1,3.191238459666892,19.663685044038765,32.84315779000684,17.394572492966613,934.6541936588667,0.14161316177056835,0.19351563693535576,0.20240953063112668,0.15781747072757565,0.03323132499837326,0.00032547602032382476,0.011660629413875252,24.286096957912104,2.124979405148746,0.03704791636448399
Tana River,2014,1,2.4313499799341485,22.034663286998086,36.35181053467185,18.128712924654494,986.6190298714674,0.15,0.15,0.15,0.15,0.012099037793988944,0.00046794282524775024,0.003327508584162282,23.7295352916227,1.927327444700478,0.004939110267102758
Tharaka,2014,1,7.959794619827977,16.150815711911108,30.00159965027841,14.182779887115442,899.7168961109168,0.20975075085480172,0.24889323813065597,0.2829280346350566,0.23380806505456153,0.05395868710567949,6.29758429413779e-05,0.012145134504518519,24.26820432799392,0.8799527453065774,15.481156361900494
Trans Nzoia,2014,1,19.41230879801748,11.583694559850684,26.40155239008626,8.645868144199106,802.972519557043,0.31927851407115404,0.3382765306570461,0.37301782399338806,0.4449595794382147,0.06311450620826473,1.473414575931482e-06,0.016153829951674185,23.27776498761754,1.2671410203293105,21.216857514820763
Turkana,2014,1,0.9256895763180535,21.507823470359707,36.12646971854295,11.267053645647886,934.7144760250292,0.037978329656500845,0.12742828011330537,0.15749039737425724,0.15012961712783002,0.005605343218868034,0.007657872160146909,0.002038901993515567,24.515952743454978,3.068417716527493,0.5293966392132364
Uasin Gishu,2014,1,17.606128763093086,10.091540216387818,25.72235774746146,7.992440205259827,792.4765697125382,0.2547539330823588,0.2822099610145473,0.339786238974401,0.4173691597362316,0.07899199570868766,8.353207517567916e-05,0.015410405520025688,24.67764177829052,1.6706586463852133,21.493141539316994
Vihiga,2014,1,58.78707158255832,14.107695215895568,29.92953725558852,14.36803163578783,848.0096664200335,0.3892752214474211,0.3957644932318127,0.39784164522867776,0.45875950275776145,0.10429558854438961,0.00047908217135519726,0.018642235204075642,24.646002839289416,0.31320507690956695,38.74940532655649
Wajir,2014,1,0.0,21.67504569996533,36.71631701790432,14.121207515155236,974.4761320867652,0.12226990504187221,0.16760357918318045,0.17805485157133163,0.17106773040743437,0.00567049766518214,-1.0244548320770264e-08,0.0009072464685278885,25.526713672950297,3.446882363139519,0.001341736049268961
West Pokot,2014,1,6.155802772605673,14.738437608564343,30.992931437911423,8.285841384456717,854.4369674033469,0.09395043050980126,0.1341388673952463,0.17783887643983967,0.26266924573659844,0.04051825684248987,9.004263081564432e-05,0.005947127766263316,25.242699962598188,1.448614135300811,12.46422499301006
